ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
AASB-ME,7630,Financial Services,29,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,117,121,117.68841,0.06837607,0.67620003,,121,,183,,117,113.94118,8,121,,183,,,,8,1583798400,0.40223,,,121,2,NOK,2.9273722,5,,,,122683112,,,40,1.1177295,121,126,,,5,153,,,,105,119,False,0.0684,,121,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.474,,0.38182,,0.025641084,,,,1013910,,,501.01,,,,1577750400,0,41909000,41.334,,0.2070489,0.24151213,0,1640908800,1593475200,,,553343,710584576,,,,,,0.343,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,,Electronic Gaming & Multimedia,1.82,1.83,1.3883799,,0,,1.9,,4608772,,1.82,1.8154411,,1.83,,4608772,,,,,,2.714866,,,1.8,4,NOK,,2123757,,,,194030352,,,3413560,,1.8,1.85,,0,2123757,3.8,,,,0.25,1.825,False,,0,1.9,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.5418994,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.2070489,10.488506,0.50402,1640908800,1577750400,,,46798691,97799536,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,,Marine Shipping,17.2,17.8,21.28152,,0.4088,,17.8,,119930,,17.2,18.25,,17.8,,119930,,,,4.21,1591228800,,,,16.95,2,NOK,,247499,,,,396465600,,,68242,,16.95,17.15,,,247499,33.4,,,,16.1,17,False,0.2392,,17.8,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.13999999,,,,23390300,,,,,,,,0.09734,,,,0.2070489,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,,,,,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,,Marine Shipping,59.8,59.6,53.607246,0.0027591975,0.8163,,59.8,,17107,,59.8,57.17059,0.165,59.6,,17107,,,,1.06,1597622400,1.121996,,,58.8,2,NOK,283.65384,4332,,,,1308083072,,,27658,47.223217,58.8,59.2,,,4332,93.8,,,,39,59,False,0.018,,59.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,56.47,,0.16968,,-0.23821658,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,,0.2070489,9.485531,0.57717997,1640908800,1593475200,,,6990487,1564220160,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,,,,,
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,,Internet Content & Information,160.9,162.9,109.10761,,0,,167,,749504,,160.9,147.11177,,162.9,,749504,,,,,,,,,162.6,2,NOK,,985379,,,,111837642752,,,495311,,162.6,163.4,,,985379,169.5,,,,66.7,163.3,False,,,167,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.4574275,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.2070489,,0.66005,1640908800,1593475200,,,227972750,105389498368,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,,Utilities—Renewable,1.22,1.25,1.2344928,0.0032786885,,,1.25,,82892,,1.22,1.267647,0.004,1.25,,82892,,,,0.04,1591142400,,,,1.17,4,NOK,,3274,,,,56219432,,,60309,,1.17,1.24,,394100,3274,1.85,,,,1.05,1.16,False,0.033299997,60000,1.25,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.14685309,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.2070489,7.0909085,0.46798,1640908800,1593475200,,,24514996,59018656,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,
ACC-ME,1366,Industrials,,"Aker Carbon Capture AS provides carbon capture technologies. Its technologies mitigate the environmental cost of industry. The company's carbon capture process uses a mixture of water and organic amine solvents to absorb the CO2 that can be applied on emissions from various sources, such as gas, coal, cement, refineries, and waste-to-energy through to hydrogen and other process industries. Its portfolio of products include Just Catch, Big Catch, and Offshore Just Catch, as well as mobile test unit. The company is based in Lysaker, Norway.",Lysaker,47 67 51 30 00,Norway,[],http://www.akercarboncapture.com,1,OksenÃ¸yveien 8,47 67 82 69 50,Pollution & Treatment Controls,5.051,5.249,5.2436666,,,,5.7,,14667637,,5.051,5.2436666,,5.249,,14667637,,,,,,,,,5,2,NOK,,6947055,,,,2847282176,,,14667637,,5,5.05,,,6947055,5.8,,,,3.85,5.03,False,,,5.7,OSL,AKER CARBON CAPTUR,Aker Carbon Capture AS,Europe/Oslo,CEST,False,7200000,EQUITY,ACC-ME.OL,finmb_677426400,no_market,,,,0,,0.00019800663,,,,566060032,,,,,,,,,,,,0.2070489,,,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/akercarboncapture.com,,,,,,
AOW-ME,1366,Energy,,"Aker Offshore Wind Holding AS engages in the development of deep-water wind power production. It has a portfolio of development projects and prospects in Europe, North America, and Asia. The company is based in Lysaker, Norway.",Lysaker,47 67 51 30 00,Norway,[],http://www.akeroffshorewind.com,1,OksenÃ¸yveien 8,,Oil & Gas Equipment & Services,3.55,3.6,3.7066667,,,,3.8505,,24589297,,3.55,3.7066667,,3.6,,24589297,,,,,,,,,3.31,4,NOK,,14519716,,,,2042201472,,,24589297,,3.31,3.35,,,14519716,4.5,,,,1.99,3.3395,False,,,3.8505,OSL,AKER OFFSHORE WIND,Aker Offshore Wind Holding AS,Europe/Oslo,CEST,False,7200000,EQUITY,AOW-ME.OL,finmb_677430128,no_market,,,,0,,0.04105568,,,,612078976,,,0.494,,,,,,,,,0.2070489,6.754049,,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/akeroffshorewind.com,,,,,,
AKERBP,1366,Energy,1703,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,47 51 35 30 00,Norway,[],http://www.akerbp.com,1,Building B,,Oil & Gas E&P,171.45,174,172.97935,0.010662001,,,178.5,,593822,,171.45,180.18971,1.828,174,,593822,,,,7.41,1596153600,1.664343,,,173.75,2,NOK,,546721,,,,62482935808,,,1026204,20.394293,173.75,173.95,,0,546721,297.9,102.20588,,,89.42,173.8,False,0.043,0,178.5,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,21.385,,-0.031630002,29.903,-0.28681362,,1.7,,359614016,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,0.2070489,32.678204,0.70299006,1640908800,1593475200,,,106384610,65519284224,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,Fornebuporten OksenOeyveien 10 Lysaker,,,,,
AQUA,0161,Energy,439,"AqualisBraemar ASA, an investment holding company, provides marine and engineering consultancy services to the offshore oil and gas industry and offshore renewables market worldwide. It offers marine and offshore engineering services, such as deep and shallow water installation engineering; marine operations and surveying, including rig moving and tow master, as well as engineering support services; owns and supervises vessel construction; engineering and project management services; concept, FEED, and basic design services for new-build and vessel upgrades; and rig inspection services. The company also provides marine warranty and consultancy, risk consulting, transportation and installation, dynamic positioning and critical systems, and technical due diligence services. The company was formerly known as Aqualis ASA and changed its name to AqualisBraemar ASA in June 2019. AqualisBraemar ASA was incorporated in 2014 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://aqualisbraemar.com,1,Olav Vs gate 6,,Oil & Gas Equipment & Services,5.55,5.55,3.8236232,0.004144144,0,,5.9,,70056,,5.55,4.8764706,0.023,5.55,,70056,,,,0.2,1591833600,1.076655,,,5.5,2,NOK,158.33333,158448,,,,400803456,,,45341,5.2904363,5.5,5.7,,385400,158448,5.9,40.714283,,,2.15,5.6,False,0.036,402100,5.9,OSL,AQUALISBRAEMAR ASA,AqualisBraemar ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AQUA.OL,finmb_266259656,no_market,,5.03,,0.03333,131.72,0.5,,0.14,,70316400,,,0.696,,,,1577750400,0.07898,2525000,0.036,,0.2070489,8.189655,0.58599,1640908800,1593475200,,,20623810,381065216,,1468368000,25:1,,,-0.894,,,,,,,,https://logo.clearbit.com/aqualisbraemar.com,,,,,,
