ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
AASB-ME,7630,Financial Services,29,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,117,119,118.28467,0.06837607,0.67620003,,119,,10,,117,113.26471,8,119,,10,,,,8,1583798400,0.40223,,,117,2,NOK,2.8305995,60,,,,118627472,,,23,1.0807798,117,117,,,60,153,,,,105,116,False,0.070199996,,119,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.446,,0.38182,,0,,,,1013910,,,501.01,,,,1577750400,0,41909000,41.334,,0.19241405,0.23352827,0,1640908800,1593475200,,,553343,707542848,,,,,,0.343,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,,Utilities—Renewable,1.2,1.22,1.2374452,0.0033333334,,,1.22,,65160,,1.2,1.2658824,0.004,1.22,,65160,,,,0.04,1591142400,-0.700348,,,1.18,4,NOK,,27562,,,,57660964,,,55032,,1.18,1.21,,394100,27562,1.85,,,,1.05,1.2,False,0.0313,60000,1.22,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.16339868,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.19241405,7.2727275,0.46798,1640908800,1585612800,,,24350240,57661000,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,,Marine Shipping,60,60.4,53.846714,0.0027500002,0.8163,,60.4,,21623,,60,56.594116,0.165,60.4,,21623,,,,1.06,1597622400,1.121996,,,59.6,2,NOK,289.42307,4838,,,,1334688256,,,29198,48.183693,59.6,60.4,,,4838,93.8,,,,39,60.2,False,0.0177,,60.4,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,56.63,,0.16968,,-0.2311688,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,,0.19241405,9.678457,0.57717997,1640908800,1593475200,,,6990487,1568654336,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,,,,,
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,,Internet Content & Information,161.5,162,107.78869,,0,,168.6,,585517,,161.5,139.575,,162,,585517,,,,,,,,,160.8,2,NOK,,477265,,,,111221268480,,,468534,,160.8,162.3,,,477265,168.6,,,,66.7,162.3,False,,,168.6,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.51228726,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.19241405,,0.66005,1640908800,1593475200,,,227972750,104800002048,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,,Electronic Gaming & Multimedia,1.73,1.86,1.3551929,,0,,1.92,,6554842,,1.73,1.7710294,,1.86,,6554842,,,,,,2.714866,,,1.75,4,NOK,,4921153,,,,191372400,,,4301856,,1.75,1.81,,0,4921153,3.8,,,,0.25,1.8,False,,0,1.92,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.0803783,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.19241405,10.344828,0.50402,1640908800,1577750400,,,46798691,92963296,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,,Marine Shipping,17.95,17.9,21.453285,,0.4088,,18.1,,44971,,17.95,18.37353,,17.9,,44971,,,,4.21,1591228800,,,,16.6,2,NOK,,215140,,,,411669280,,,70100,,16.6,17.65,,,215140,33.4,,,,16.1,17.5,False,0.2359,,18.1,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.10749996,,,,23390300,,,,,,,,0.09734,,,,0.19241405,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,,,,,
ASC,0250,Financial Services,275,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1,Munkedamsveien 45 East,,Capital Markets,4.53,4.5,3.8585765,0.04856512,0.8062,,4.55,,164469,,4.53,4.4325,0.22,4.5,,164469,,,,0.22,1588118400,0.958768,,,4.5,4,NOK,9.825708,105488,,,,1988815488,,,399036,1.4071642,4.5,4.525,,185000,105488,4.625,10.488373,,10.54,2.69,4.51,False,0.048600003,340000,4.55,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ASC.OL,finmb_2972520,no_market,,1.098,,0.17288,,0.41121495,,0.43,,440979008,,,1.493,,,,1577750400,0.19143,244343008,0.459,,0.19241405,3.0207636,0.18238,1640908800,1593475200,,,342568196,1551594240,,,,,,0.229,,,,,,,,https://logo.clearbit.com/abgsc.com,7th floor,,,,,
AMSC,1366,Industrials,3,"American Shipping Company ASA, through its subsidiaries, operates as a ship owning and lease finance company in the United States. It is involved in the purchase and bareboat chartering of product tankers, shuttle tankers, and other vessels to operators and end users in the Jones Act market. The company operates a fleet of nine product tankers and one shuttle tanker. The company was formerly known as Aker American Shipping ASA and changed its name to American Shipping Company ASA in June 2008. American Shipping Company ASA was founded in 2005 and is headquartered in Lysaker, Norway.",Lysaker,,Norway,[],http://www.americanshippingco.com,1,Building B,,Marine Shipping,31.1,31.8,25.631605,0.010932476,2.1353,,31.95,,70199,,31.1,28.095589,0.34,31.8,,70199,,,,3.62,1598486400,0.957026,,,31,2,NOK,202.90323,31209,,,,1906388992,,,74755,21.63794,31,31.45,,114600,31209,37.5,85,,11.42,15.06,31.25,False,0.1163,172600,31.95,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AMSC.OL,finmb_22594564,no_market,,27.173,,0.106709994,28.106,-0.0973838,,0.37,,60616500,,,2.607,,,,1577750400,0.19708,9402000,0.155,,0.19241405,12.063675,0.28123,1640908800,1593475200,,,43989211,2394056192,,,,,,0.571,,,,,,,,https://logo.clearbit.com/americanshippingco.com,OksenOeyveien 10,,,,,
AKERBP,1366,Energy,1703,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,47 51 35 30 00,Norway,[],http://www.akerbp.com,1,Building B,,Oil & Gas E&P,176.8,177,174.94525,0.010339366,,,177.35,,560663,,176.8,181.16765,1.828,177,,560663,,,,7.41,1596153600,1.664343,,,174,2,NOK,,258291,,,,62662742016,,,1251241,20.452982,174,174.2,,0,258291,297.9,102.5,,,89.42,174.15,False,0.0419,0,177.35,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,22.013,,-0.031630002,30.781,-0.23152173,,1.7,,359614016,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,0.19241405,32.77224,0.70299006,1640908800,1593475200,,,106384610,67443220480,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,Fornebuporten OksenOeyveien 10 Lysaker,,,,,
AKBM-ME,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,OksenOeyveien 10,,Drug Manufacturers—Specialty & Generic,91.62,93.17,95.76171,,,,93.5,,83097,,91.62,95.498825,,93.17,,83097,,,,,,,,,90.3,2,NOK,,60562,,,,,,,147805,,90.3,91.65,,,60562,114,,,,87,91.52,False,,,93.5,OSL,AKER BIOMARINE AS,Aker BioMarine AS,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,43.271,,-0.00658,203.467,-0.13371539,,,,,,,2.051,,,,1546214400,,-1022000,-0.015,,0.19241405,44.62213,,1609372800,1593475200,,,14751544,6721526784,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,PO Box 496,,,,,
