ticker,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn
2020,Infinity,0.18931425,,,,,,,,,,,,,,,,,-,,,,,,-,,,1,,,,,,,2,,,0,,22170900,,,-,,,,,,,,
SSO,0.3274933,0.18931425,,,0.710378,,24.948,,,1.214,18.852,14.587,22698039296,,89895609,1.67,,,-,,,,,1546214400,-,,,1,,,1569801600,19000000,1609372800,,2,4.0404043,,0.012209999,,125129000,,,-,,,,,,0.127,,
NORTH,-0.29456902,0.18931425,,,0.300884,,2.6,,,,3.267,-86.324,-76224344,,45012887,-0.93,,,-,,,,,1546214400,-,,,1,,,1569801600,-40623000,1609372800,,4,0.46538463,,0,,117252000,,,-,,,,,,-0.34,,
REACH,-0.33541667,0.18931425,,,0.400643,,1.327,,,-0.483,12.079,0.604,357535872,,56429371,0.1,,,-,,,,,1546214400,2012-12-06,20/1,,1,,,1569801600,-17233000,1609372800,,4,1.1642803,,-0.02913,,143546000,,,-,,,,,,-0.125,,
SIOFF,-0.15483874,0.18931425,,,0.649235,,0.432,,,,22.885,7.631,2246650880,,34138855,-0.02,,,-,,,,,1546214400,-,,,1,,,1569801600,-86782000,1609372800,,4,3.009259,,-0.27688998,,942020992,,,-,,,,,,-0.087,,
KCC,Infinity,0.18931425,,,,,4.105,,,0.178,93.528,19.436,2425190912,,11652905,,,,-,,,,,1546214400,-,,,1,,,1569801600,-472000,1609372800,,2,10.499391,,-0.00378,,48027000,,,-,,,,,,-0.012,,
SUBC,0.104204774,0.18931425,,,1.321802,,18.156,,,-0.429,54.86,7.805,29585780736,,214117926,0.25,,,-,,,,,1546214400,-,,,1,,,1569801600,90100000,1609372800,,2,5.355805,,0.02377,,298787008,,,-,,,,,,0.29,,
OLT,0.0803324,0.18931425,,,0.753821,,256.391,,,0.035,15.777,10.182,39852216320,,26853945,13.47,,,-,,,,,1546214400,2014-06-11,1/10,,1,,,1569801600,1864000000,1609372800,,2,0.60922575,,0.47624,,103623000,,,-,,,,,,17.791,,
WWIB,-0.041935503,0.18931425,,,1.197908,,40.061,,,,71.245,9.033,7551968768,,22552261,,,,-,,,,,1546214400,2004-10-14,1/2,,1,,,1569801600,70000000,1609372800,,2,3.731809,,0.083730005,,10580000,,,-,,,,,,1.508,,
OCY,-0.21986967,0.18931425,,,0.629927,,5.05,,,,46.184,36.401,9296939008,,67118814,0.67,,,-,,,,,1546214400,-,,,1,,,1569801600,-100200000,1609372800,,2,9.485148,,-0.39233002,,175084992,,,-,,,,,,-0.631,,
SHLF,-0.6593511,0.18931425,,,0.427787,,4.685,,,,42.785,5.823,3315572480,,38229871,-0.46,,,-,,,,,1546214400,-,,,1,,,1569801600,-129221000,1609372800,,2,3.7780151,,-0.22694999,,136880992,,,-,,,,,,-1.06,,
