ticker,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn
2020,Infinity,0.25783992,,,,,,,,,,,,,,,,,-,,,,,,-,,,1,,,,,,,2,,,0,,22170900,,,-,,,,,,,,
GOD,0.38655448,0.25783992,,,0.956275,,10.501,,,,-4.996,0.313,176591168,,10068233,,,,-,,,,,1546214400,2012-05-07,1:10,,1,,,1569801600,-59852000,1609372800,,2,0.6380344,,-0.07706,,22614600,,,-,,,,,,-1.822,,
TRE,0.094697,0.25783992,,,0.843487,,2.909,,,,,230.492,3142764032,,55660968,,,,-,,,,,1546214400,-,,,1,,,1561852800,171296000,1609372800,,2,5.0360947,,12.562961,,217335008,,,-,,,,,,0.783,,
PSE,-0.089172065,0.25783992,,,-0.058299,,0.714,,,,12.52,2.993,176678624,,283251,,,,-,,,,,1546214400,2012-10-24,1:11,,1,,,1561852800,5349000,1609372800,,4,3.7535017,,0.09061,,59133800,,,-,,,,,,0.09,,
TOTG,0.16260159,0.25783992,,,0.214574,,307.609,,,0.108,,9.682,3970732544,,3870583,14.88,,,-,,,,,1546214400,2012-05-02,340:240,,1,,,1569801600,101261000,1609372800,,2,0.4713776,,0.4621,,6124530,,,-,,,,,,16.121,,
ADE,Infinity,0.25783992,,,,,,,,0.555,,,74245120000,,232836783,,,,-,,,,,1546214400,-,,,1,,,1569801600,,1609372800,,2,,,0.04859,,684947968,,,-,,,,,,,,
GSF,0.35344028,0.25783992,,,-0.129554,,34.489,,,,18.555,2.242,18036758528,,45033708,10.91,,,-,,,,,1546214400,-,,,1,,,1569801600,492520000,1609372800,,2,4.1520486,,0.06122,,110434000,,,-,,,,,,4.453,,
WILS,0.049999952,0.25783992,,,0.879352,,2.999,,,-0.143,,,921063808,,3972417,,,,-,,,,,1546214400,-,,,1,,,1569801600,,1609372800,,2,7.002334,,0.06379,,43860200,,,-,,,,,,0.273,,
LSTSB-ME,Infinity,0.25783992,,,0.247384,,877.957,,,0.245,,15.191,2758230016,,524910,,,,-,,,,,1546214400,-,,,1,,,1569801600,90434000,1609372800,,2,0.143515,,0.49807,,1000000,,,-,,,,,,90.434,,
PHLY,0.5800712,0.25783992,,,0.692307,,7.953,,,,302.653,13.034,546590784,,1484671,,,,-,,,,,1546214400,-,,,1,,,1569801600,-22899000,1609372800,,2,5.306174,,-0.54603,,12107900,,,-,,,,,,-1.891,,
GEOS-ME,-0.42903227,0.25783992,,,,,8.675,,,-0.979,56.821,5.624,374917632,,23181459,,,,-,,,,,1546214400,-,,,1,,,1561852800,-18102084,1609372800,,4,0.38731986,,-0.27154,,35415900,,,-,,,,,,-0.618,,
