ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,56.0,55.6,56.0,14,,1241.57,-0.0106,0.0182,-0.021,-0.3556,-0.2747
FIVEPG,5th Planet Games,Communication services,1.62,1.62,1.64,1190,LP,172.24,0.1912,0.1329,-0.061200000000000004,4.5461,1.3522999999999998
AASB-ME,Aasen Sparebank,Equity certificates,110.0,108.0,112.0,0,LP,111.53,,,-0.051699999999999996,-0.08470000000000001,-0.0078000000000000005
ASC,ABG Sundal Collier Holding,Financials,4.49,4.48,4.49,42,,1977.45,-0.0033,0.0079,0.0679,0.192,0.35340000000000005
ADE,Adevinta,Communication services,115.0,115.0,,0,,78758.84,,,0.1741,0.1058,0.2778
ADSC-ME,ADS Crude Carriers,Energy,18.7,18.7,18.75,28,,437.40,-0.0027,0.0,-0.053200000000000004,-0.23149999999999998,0.1058
AEGA,Aega,Utilities,1.21,1.18,1.21,16,,58.14,-0.032,0.0168,-0.008199999999999999,0.0431,-0.0478
AFG,AF Gruppen,Industrials,180.6,180.6,181.0,67,,18964.63,-0.0022,0.0011,0.026099999999999998,0.0643,0.1344
AKA,Akastor,Energy,5.41,5.38,5.42,162,,1469.41,-0.016399999999999998,0.0404,0.0713,-0.4557,-0.5296
AKER,Aker,Financials,407.4,407.0,407.6,1770,,30256.98,-0.023,0.08929999999999999,0.08470000000000001,-0.2504,-0.1746
AKBM-ME,Aker BioMarine,Consumer staples,96.29,96.21,96.29,135,,8433.66,0.0083,-0.1246,,,
AKERBP,Aker BP,Energy,184.3,184.2,184.35,2111,,66276.77,0.0005,-0.0123,-0.0022,-0.33880000000000005,-0.20989999999999998
AKSO,Aker Solutions,Energy,15.34,15.31,15.34,6328,,4171.60,0.1197,0.6665000000000001,0.6674,-0.37939999999999996,-0.4631
AKVA,AKVA Group,Industrials,65.0,64.6,65.0,15,LP,2151.92,0.015600000000000001,0.0383,0.015600000000000001,-0.1093,-0.1376
AMSC,American Shipping Company,Industrials,27.8,27.7,27.8,63,,1685.14,0.0146,0.0128,0.0775,-0.10460000000000001,-0.1153
ANDF-ME,Andfjord Salmon,Consumer staples,58.4,58.3,59.49,64,,1968.12,0.0017000000000000001,0.1124,,,
ABT,Aqua Bio Technology,Materials,5.0,4.96,5.0,41,LP,76.78,0.0331,-0.009899999999999999,-0.09910000000000001,1.1368,1.0492
AQUA,AqualisBraemar,Energy,4.7,4.62,4.72,30,,330.49,0.078,0.1137,0.175,0.2718,0.21559999999999999
ARCHER,Archer,Energy,2.16,2.15,2.16,27,,318.80,-0.0115,-0.0092,-0.081,-0.3223,-0.5211
AZT,ArcticZymes Technologies,Health care,42.2,42.0,42.2,377,,2039.72,0.029300000000000003,0.055,0.3188,7.8842,9.6835
ARCUS,Arcus,Consumer staples,39.9,39.6,39.8,26,,2705.25,0.0,0.015300000000000001,0.020499999999999997,0.1393,0.1519
AFK,Arendals Fossekompani,Industrials,2840.0,2820.0,2860.0,3,,6217.95,0.0070999999999999995,0.0365,0.084,0.1036,0.083
ASETEK,Asetek,Information technology,68.6,68.2,68.6,125,,1734.00,0.0208,0.0906,0.24050000000000002,1.2129,1.1075
ATEA,Atea,Information technology,108.8,108.6,109.0,220,,11965.08,0.0074,0.04019999999999999,0.07719999999999999,-0.154,-0.024
ATLA NOK,Atlantic Petroleum,Energy,7.26,7.24,7.26,4,,26.85,,0.1524,0.0028000000000000004,-0.07519999999999999,
ASA,Atlantic Sapphire,Consumer staples,124.0,124.0,124.5,260,,8838.24,-0.008,-0.012,-0.1047,-0.0388,0.2551
AURG,Aurskog Sparebank,Equity certificates,186.0,186.0,192.0,1,LP,597.84,,,0.0054,0.04019999999999999,0.10779999999999999
AUSS,Austevoll Seafood,Consumer staples,80.25,80.2,80.3,537,,16196.38,0.0025,0.0031,0.0721,-0.07980000000000001,-0.1457
AVANCE,Avance Gas Holding,Energy,18.74,18.71,18.76,355,,1192.92,-0.0147,0.042300000000000004,0.0504,-0.5811999999999999,-0.1885
AWDR,Awilco Drilling,Energy,3.3,3.3,3.34,51,,180.12,-0.023700000000000002,-0.023700000000000002,-0.18109999999999998,-0.7870999999999999,-0.8726
ALNG,Awilco LNG,Energy,1.17,1.14,1.17,9,,155.08,0.0308,-0.07139999999999999,-0.1069,-0.6344,-0.6872
AXA,Axactor,Financials,7.42,7.4,7.42,1081,,1375.63,0.0832,0.09119999999999999,0.0928,-0.6095,-0.6095
AGS,Axxis Geo Solutions,Energy,1.07,1.06,1.08,198,,62.94,0.009399999999999999,0.4578,0.28300000000000003,-0.14400000000000002,-0.9416
AYFIE-ME,ayfie Group,Information technology,2.76,2.75,2.78,41,,293.14,-0.031400000000000004,-0.08,,,
B2H,B2Holding,Financials,5.21,5.21,5.23,1330,,2135.75,0.1591,0.1841,0.2864,-0.4547,-0.49560000000000004
BAKKA,Bakkafrost,Consumer staples,572.5,572.0,572.5,617,,33841.91,0.0097,0.0169,-0.0288,-0.1192,0.1128
BALT-ME,Baltic Sea Properties,Real estate,30.4,24.0,30.4,1,,202.70,,,,0.0483,-0.1059
BEL,Belships,Industrials,6.55,6.55,6.75,1,LP,1490.96,-0.015,-0.022400000000000003,-0.0709,-0.0966,-0.0709
